Track Name,Album Name,Lyrics,No_of_Characters,No_of_Words
Star by David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars by David Bowie,"tony went to fight in belfast rudi stayed at home to starve i could make it all worthwhile as a rock & roll star bevan tried to change the nation sonny wants to turn the world, well, he can tell you that he tried i could make a transformation as a rock & roll star  so inviting, so enticing to play the part i could play the wild mutation as a rock & roll star get it on, yeah oooo, yeah  i could do with the money you know that i could i'm so wiped out with things as they are you know that i could i'd send my photograph to my honey and i'd come on like a regular superstar i could make a transformation as a rock & roll star  so inviting, so enticing to play the part i could play the wild mutation as a rock & roll star get it on, yeah  i could do with the money you know that i could i'm so wiped out with things as they are you know that i could i'd send my photograph to my honey and i'd come on like a regular superstar  i could fall asleep at night as a rock & roll star i could fall in love all right as a rock & roll star  rock & roll star rock & roll star just watch me now",1095,256
Starlight by Taylor Swift,Red by Taylor Swift,"i said, oh, my, what a marvelous tune it was the best night, never would forget how he moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight like we're made of starlight  i met bobby on the boardwalk, summer of ' picked me up, late one night out the window we were  and crazy, running wild, wild can't remember what song it was playing when we walked in the night we snuck into a yacht club party pretending to be a duchess and a prince  and i said, oh, my, what a marvelous tune it was the best night, never would forget how he moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight, starlight like we're made of starlight, starlight  he said, “look at you, worrying too much about things you can't change you'll spend your whole life singing the blues if you keep thinking that way he was trying to skip rocks on the ocean, saying to me don't you see the starlight, starlight don't you dream impossible things  like, oh, my, what a marvelous tune it was the best night, never would forget how he moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight, starlight like we're made of starlight, starlight  oohooh, he's talking crazy oohooh, dancing with me oohooh, we could get married have ten kids and teach 'em how to dream   oh, my, what a marvelous tune it was the best night, never would forget how he moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight, starlight like we're made of starlight, starlight  like we're made of starlight, starlight like we dream impossible dreams like starlight, starlight like we dream impossible dreams don't you see the starlight, starlight don't you dream impossible things",1820,384
Starman by David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars by David Bowie,"hey, now now goodbye love  didn't know what time it was, the lights were low i leaned back on my radio some cat was layin' down some rock 'n' roll ""lotta soul,"" he said then the loud sound did seem to fade came back like a slow voice on a wave of phase that weren't no dj, that was hazy cosmic jive  there's a starman waiting in the sky he'd like to come and meet us but he thinks he'd blow our minds there's a starman waiting in the sky he's told us not to blow it 'cause he knows it's all worthwhile he told me ""let the children lose it let the children use it let all the children boogie""  i had to phone someone, so i picked on you hey, that's far out, so you heard him too switch on the tv, we may pick him up on channel two look out your window, i can see his light if we can sparkle, he may land tonight don't tell your poppa or he'll get us locked up in fright  there's a starman waiting in the sky he'd like to come and meet us but he thinks he'd blow our minds there's a starman waiting in the sky he's told us not to blow it 'cause he knows it's all worthwhile he told me ""let the children lose it let the children use it let all the children boogie"" starman waiting in the sky he'd like to come and meet us but he thinks he'd blow our minds there's a starman waiting in the sky he's told us not to blow it 'cause he knows it's all worthwhile ""he told me let the children lose it let the children use it let all the children boogie""  la, la, la, lala, la, la, la la, la, la, lala, la, la, la la, la, la, lala, la, la, la la, la, la, lala, la, la, la la, la, la, lala, la, la, la la, la, la, lala, la, la, la la, la, la, lala, la, la, la la, la, la, lala, la, la, la",1684,443
State of Grace by Taylor Swift,Red by Taylor Swift,"i'm walking fast through the traffic lights busy streets and busy lives and all we know is touch and go we are alone with our changing minds we fall in love 'til it hurts or bleeds or fades in time  and i never never saw you coming and i’ll never never be the same  you come around and the armor falls pierce the room like a cannonball now, all we know is don’t let go we are alone, just you and me up in your room and our slates are clean just twin fire signs, four blue eyes  so you were never a saint and i've loved in shades of wrong we learn to live with the pain mosaic broken hearts but this love is brave and wild  and i never never saw you coming and i’ll never never be the same  this is a state of grace this is the worthwhile fight love is a ruthless game unless you play it good and right these are the hands of fate you’re my achilles heel this is the golden age of something good and right and real  and i never never saw you coming and i’ll never be the same  and i never never saw you coming and i’ll never so you were never a saint and i've loved in shades of wrong be the same we learn to live with the pain mosaic broken hearts but this love is brave and wild this is a state of grace this is the worthwhile fight love is a ruthless game unless you play it good and right",1291,284
Station to Station by David Bowie,Station to Station by David Bowie," the return of the thin white duke throwing darts in lovers' eyes  here are we, one magical moment such is the stuff, from where dreams are woven bending sound, dredging the ocean lost in my circle here am i, flashing no colour tall in this room overlooking the ocean here are we, one magical movement from kether to malkuth there are you, drive like a demon from station to station  the return of the thin white duke throwing darts in lovers' eyes the return of the thin white duke throwing darts in lovers' eyes the return of the thin white duke making sure white stains  once there were mountains on mountains and once there were sun birds to soar with and once i could never be down got to keep searching and searching and oh, what will i be believing and who will connect me with love wonder who, wonder who, wonder when have you sought fortune, evasive and shy drink to the men who protect you and i drink, drink, drain your glass, raise your glass high  it's not the sideeffects of the cocaine i'm thinking that it must be love  it's too late to be grateful it's too late to be late again it's too late to be hateful the european canon is near  i must be only one in a million i won't let the day pass without her it's too late to be grateful it's too late to be late again it's too late to be hateful the european canon is here should i believe that i've been stricken does my face show some kind of glow  it's too late to be grateful it's too late to be late again it's too late to be hateful the european canon is here, yes it's here it's too late, it's too late it's too late, it's too late it's too late the european canon is near   it's not the sideeffects of the cocaine i'm thinking that it must be love it's too late to be grateful it's too late to be late again it's too late to be hateful the european canon is here  i must be only one in a million i won't let the day pass without her  it's too late to be grateful it's too late to be late again it's too late to be hateful the european canon is here, yes it's here  should i believe that i've been stricken does my face show some kind of glow  it's too late to be grateful it's too late to be late again it's too late to be hateful the european canon is here, yes it's here it's too late, it's too late it's too late, it's too late it's too late the european canon is here",2344,523
Stay Stay Stay by Taylor Swift,Red by Taylor Swift,"i'm pretty sure we almost broke up last night i threw my phone across the room, at you i was expecting some dramatic turn away but you stayed this morning, i said we should talk about it 'cause i read you should never leave a fight unresolved that's when you came in wearing a football helmet and said, okay, let's talk and i said  stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay  before you, i'd only dated selfindulgent takers who took all of their problems out on me but you carry my groceries and now, i'm always laughing and i love you because you have given me no choice but to  stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay, stay, stay, stay  you took the time to memorize me my fears, my hopes, and dreams i just like hanging out with you all the time all those times that you didn't leave, it's been occurring to me i'd like to hang out with you for my whole life  stay and i'll be loving you for quite some time no one else is gonna love me when i get mad, mad, mad so i think that it's best if we both stay, stay stay, stay, stay, stay  stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay, stay stay, stay, stay, stay  stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay hahaha, it's so fun",1654,406
Stay by David Bowie,Station to Station by David Bowie,"this week dragged past me so slowly the days fell on their knees maybe i'll take something to help me hope someone takes after me i guess there's always some change in the weather this time i know we could get it together if i did casually mention tonight that would be crazy tonight  stay  that's what i meant to say or do something, but what i never say is stay this time, i really meant to so bad this time 'cause you can never really tell when somebody wants something you want too  heart wrecker, heart wrecker, make me delight life is so vague when it brings someone new this time tomorrow i'll know what to do i know it's happened to you  stay  that's what i meant to say or do something, but what i never say is stay this time, i really meant to so bad this time 'cause you can never really tell when somebody wants something you want too  stay  that's what i meant to say or do something, but what i never say is stay this time, i really meant to so bad this time 'cause you can never really tell when somebody wants something you want too",1051,222
Steal My Girl by One Direction,FOUR by One Direction," she been my queen since we were sixteen we want the same things, we dream the same dreams alright, alright i got it all 'cause she is the one her mum calls me ""love,"" her dad calls me ""son"" alright, alright  i know, i know, i know for sure  everybody wanna steal my girl everybody wanna take her heart away couple billion in the whole wide world find another one 'cause she belongs to me everybody wanna steal my girl everybody wanna take her heart away couple billion in the whole wide world find another one 'cause she belongs to me  nanananananana oh, yeah nanananananana alright nanananananana, nana she belongs to me  kisses like cream, her walk is so mean and every jaw drops when she's in those jeans alright, alright i don't exist if i don't have her the sun doesn't shine, the world doesn't turn alright, alright  but i know, i know, i know for sure  everybody wanna steal my girl everybody wanna take her heart away couple billion in the whole wide world find another one 'cause she belongs to me everybody wanna steal my girl everybody wanna take her heart away couple billion in the whole wide world find another one 'cause she belongs to me  nanananananana oh, yeah nanananananana alright nanananananana, nananana she knows, she knows that i never let her down before oh, she knows, she knows that i'm never gonna let another take her love from me now  everybody wanna steal my girl wants to steal my girl everybody wanna take her heart away wants to take her love away couple billion in the whole wide world find another one 'cause she belongs to me well, find another one 'cause she belongs to me everybody wanna steal my girl everybody wanna take her heart away couple billion in the whole wide world find another one 'cause she belongs to me oh, yeah  nanananananana oh, yeah, alright, yeah nanananananana alright nanananananana, nana she belongs to me nanananananana she belongs to me, yeah, oh, yeah nanananananana alright nanananananana she belongs to me127",2084,422
Stockholm Syndrome by One Direction,FOUR by One Direction,"who's that shadow holding me hostage i've been here for days who's this whisper telling me that i'm never gonna get away i know they'll be coming to find me soon but i fear i'm getting used to being held by you  oh, baby, look what you've done to me oh, baby, look what you've done now oh, baby, i'll never leave if you keep holding me this way ohohoh oh, baby, look what you've done to me oh, baby, you got me tied down oh, baby, i'll never leave if you keep holding me this way ohohoh  who's this man that's holding your hand and talking 'bout your eyes ohohoh used to sing about being free but now he's changed his mind ohohoh i know they'll be coming to find me soon but my stockholm syndrome is in your room yeah, i fell for you  oh, baby, look what you've done to me oh, baby, look what you've done now oh, baby, i'll never leave if you keep holding me this way ohohoh oh, baby, look what you've done to me oh, baby, you got me tied down oh, baby, i'll never leave if you keep holding me this way ohohoh  all my life, i've been on my own ohohoh i used the light to guide me home ohohoh but now together we're alone ohohoh and there's no other place i'd ever wanna go  look what you've done to me baby, look what you've done  oh, baby, look what you've done to me oh, baby, look what you've done done now oh, baby, i'll never leave if you keep holding me this way ohohoh look what you've done to me, baby oh, baby, look what you've done to me oh, baby, you got me tied down look what you've done to me, baby oh, baby, i'll never leave if you keep holding me this way ohohoh  look what you've done to me, baby oh, baby, look what you've done look what you've done to me, baby ohohoh oh, baby, look what you've done to me look what you've done to me, baby84",1830,483
Stole My Heart by One Direction,Up All Night by One Direction,"waiting for a girl like you  the light shines, it's getting hot on my shoulders i don't mind, this time it doesn't matter 'cause your friends, they look good and you look better  don't you know all night i've been waiting for a girl like you to come around, 'round, 'round  under the lights tonight, you turned around and you stole my heart with just one look when i saw your face, i fell in love took a minute, girl, to steal my heart tonight with just one look, yeah been waiting for a girl like you  i'm weaker, my worlds fall and they hit the ground oh, life, come on 'head, don't you fail me now i start to say, ""i think i love you,"" but i make no sound  and, oh, 'cause all my life i've been waiting for a girl like you to come around  under the lights tonight, you turned around and you stole my heart with just one look when i saw your face, i fell in love took a minute, girl, to steal my heart tonight with just one look, yeah been waiting for a girl like you  there is no other place that i would rather be than right here with you tonight as we lay on the ground, i put my arms around you and we can stay here tonight 'cause there's so much that i wanna say i wanna say  under the lights tonight, you turned around and you stole my heart with just one look when i saw your face, i fell in love took a minute, girl, to steal my heart under the lights tonight, you turned around and you stole my heart with just one look when i saw your face, i fell in love took a minute, girl, to steal my heart tonight with just one look, yeah been waiting for a girl like you been waiting for a girl like you12",1612,371
Stop Whispering by Radiohead,Pablo Honey by Radiohead,and the wise man said i don't want to hear your voice and the thin man said i don't want to hear your voice and they're cursing me and they won't let me be and there's nothing to say and there's nothing to do  stop whispering start shouting stop whispering start shouting  and the mother say we spit on your son some more and the buildings say we spit on your face some more and the feeling is that there's something wrong 'cause i can't find the words and i can't find the songs  stop whispering start shouting stop whispering start shouting  dear sir i have a complaint dear sir i have a complaint can't remember what it is it doesn't matter anyway it doesn't matter anyway  stop whispering stop whispering stop whispering stop whispering stop stop,750,149
Story of My Life by One Direction,Midnight Memories by One Direction,"written in these walls are the stories that i can't explain i leave my heart open but it stays right here empty for days she told me in the morning she don't feel the same about us in her bones it seems to me that when i die these words will be written on my stone  and i'll be gone, gone tonight ohohoh the ground beneath my feet is open wide ohohoh the way that i've been holding on too tight ohohoh with nothing in between  the story of my life, i take her home i drive all night to keep her warm and time is frozen the story of, the story of the story of my life, i give her hope i spend her love until she's broke inside the story of my life the story of, the story of  written on these walls are the colors that i can't change leave my heart open but it stays right here in its cage i know that in the morning i'll see us in the light up on the hill although i am broken, my heart is untamed still  and i'll be gone, gone tonight ohohoh the fire beneath my feet is burning bright ohohoh the way that i've been holding on so tight ohohoh with nothing in between  the story of my life, i take her home i drive all night to keep her warm and time is frozen the story of, the story of the story of my life, i give her hope i spend her love until she's broke inside the story of my life the story of, the story of  and i've been waiting for this time to come around but, baby, running after you is like chasing the clouds  the story of my life, i take her home i drive all night to keep her warm and time is frozen  the story of my life, i give her hope i give her hope i spend her love until she's broke inside 'til she's broke inside the story of my life the story of, the story of the story of my life the story of my life the story of, the story of the story of my life188",1822,430
Strawberry Swing by Coldplay,Viva La Vida or Death and All His Friends by Coldplay,"two, three, four that's a bit fast one, two, three  they were sittin', they were sittin' on the strawberry swing every moment was so precious they were sittin', they were talkin' on the strawberry swing everybody was for fightin' wouldn't wanna waste a thing  cold, cold water, bring me 'round now my feet won't touch the ground cold, cold water, what you say when it's such, it's such a perfect day it's such a perfect day  i remember, we were walkin' up to strawberry swing i can't wait till the mornin' wouldn't wanna change a thing  people movin' all the time inside a perfectly straight line don't you wanna just curve away when it's such, it's such a perfect day it's such a perfect day      ahah, ahahah now the sky could be blue, i don't mind without you, it's a waste of time could be blue, i don't mind without you, it's a waste of time well, the sky could be blue, could be grey without you, i'm just miles away well, the sky could be blue, i don't mind without you, it's a waste of time",1003,243
Street Spirit Fade Out by Radiohead,The Bends by Radiohead,rows of houses all bearing down on me i can feel their blue hands touching me all these things into position all these things we'll one day swallow whole  and fade out again and fade out  this machine will will not communicate these thoughts and the strain i am under be a world child form a circle before we all go under  and fade out again and fade out again  ahnana ahnana ahnana ahnana ahnana ahnana ahnana ahnana  cracked eggs dead birds scream as they fight for life i can feel death can see its beady eyes all these things into position all these things we'll one day swallow whole  and fade out again and fade out again  ahnana ahnana ahnana ahnana ahnana ahnana ahnana ahnana immerse your soul in love ahnana ahnana ahnana ahnana immerse your soul in love ahnana ahnana,822,144
Strong by One Direction,Midnight Memories by One Direction,"my hands, your hands, tied up like two ships drifting, weightless, waves try to break it i'd do anything to save it why is it so hard to save it my heart, your heart, sit tight like bookends pages between us written with no end so many words we're not saying don't wanna wait till it's gone you make me strong  i'm sorry if i say i need you but i don't care, i'm not scared of love 'cause when i'm not with you, i'm weaker is that so wrong is it so wrong that you make me strong  think of how much love that's been wasted people always trying to escape it move on to stop their heart breaking but there's nothing i'm running from you make me strong  i'm sorry if i say i need you but i don't care, i'm not scared of love 'cause when i'm not with you, i'm weaker is that so wrong is it so wrong  so, baby, hold on to my heart, oh need you to keep me from fallin' apart i'll always hold on 'cause you make me strong  i'm sorry if i say i need you but i don't care, i'm not scared of love 'cause when i'm not with you, i'm weaker is that so wrong is it so wrong i'm sorry if i say i need you but i don't care, i'm not scared of love 'cause when i'm not with you, i'm weaker is that so wrong is it so wrong that you make me strong i'm sorry if i say i need you but i don't care, i'm not scared of love 'cause when i'm not with you, i'm weaker is that so wrong is it so wrong that you make me strong42",1412,363
Stuck Inside of Mobile with the Memphis Blues Again by Bob Dylan,Blonde on Blonde by Bob Dylan," oh, the ragman draws circles up and down the block i'd ask him what the matter was but i know that he don't talk and the ladies treat me kindly and they furnish me with tape but deep inside my heart i know i can't escape  oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  well, shakespeare, he's in the alley with his pointed shoes and his bells speaking to some french girl who says she knows me well and i would send a message to find out if she's talked but the post office has been stolen and the mailbox is locked  oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  mona tried to tell me to stay away from the train line she said that all the railroad men just drink up your blood like wine and i said, ""oh, i didn't know that but then again, there's only one i've met and he just smoked my eyelids and punched my cigarette""  oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  grandpa died last week and now he's buried in the rocks but everybody still talks about how badly they were shocked but me, i expected it to happen i knew he'd lost control when i sp— he'd built a fire on main street and shot it full of holes oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  now the senator came down here showing everyone his gun handing out free  to the wedding of his son and me, i nearly got busted and wouldn't it be my luck to get caught without a ticket and be discovered beneath a truck  oh, mama is this really the end to be stuck inside of mobile with the memphis blues again  now the tea preacher looked so baffled when i asked him why he dressed with twenty pounds of headlines stapled to his chest but he cursed me when i proved to him then i whispered, said, ""not even you can hide you see, you're just like me i hope you're satisfied"" oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  now the rainman gave me two cures then he said, ""jump right in"" the one was texas medicine the other was just railroad gin and like a fool i mixed them and it strangled up my mind and now people just get uglier and i have no sense of time  oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  now when ruthie says come see her in her honkytonk lagoon where i can watch her waltz for free 'neath her panamanian moon and i say, ""aw, come on now you know you know about my debutante"" and she says, ""your debutante just knows what you need but i know what you want""  oh, mama can this really be the end to be stuck inside of mobile with the memphis blues again  now the bricks lay on grand street where the neon madmen climb they all fall there so perfectly it all seems so well timed and here i sit so patiently waiting to find out what price you have to pay to get out of going through all these things twice  oh, mama is this really the end to be stuck here inside of mobile with the memphis blues again",3117,670
Style by Taylor Swift, by Taylor Swift,"midnight you come and pick me up, no headlights a long drive could end in burning flames or paradise fade into view, oh it's been a while since i have even heard from you heard from you  and i should just tell you to leave, 'cause i know exactly where it leads, but i watch us go 'round and 'round each time  you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down, we come back every time 'cause we never go out of style, we never go out of style you got that long hair, slicked back, white tshirt and i got that good girl faith and a tight little skirt and when we go crashing down, we come back every time 'cause we never go out of style, we never go out of style  so it goes he can't keep his wild eyes on the road, mmm takes me home the lights are off, he's taking off his coat, mmm, yeah i say, i heard, oh that you've been out and about with some other girl some other girl  he says, what you heard is true, but i can't stop thinking 'bout you and i i said, i've been there too a few times  'cause you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down, we come back every time 'cause we never go out of style, we never go out of style you got that long hair, slicked back, white tshirt and i got that good girl faith and a tight little skirt a tight little skirt and when we go crashing down, we come back every time 'cause we never go out of style we never go, we never go, we never go out of style  take me home ah just take me home ah yeah, just take me home ah ohoh, woahoh, oh out of style  oh, you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down and when we go, we come back every time 'cause we never go out of style, we never go out of stylek",1889,432
Subterranean Homesick Alien by Radiohead,OK Computer by Radiohead,the breath of the morning i keep forgetting the smell of the warm summer air i live in a town where you can't smell a thing you watch your feet for cracks in the pavement up above aliens hover making home movies for the folks back home of all these weird creatures who lock up their spirits drill holes in themselves and live for their secrets  they're all uptight uptight uptight uptight uptight uptight  i wish that they'd swoop down in a country lane late at night when i'm driving take me on board their beautiful ship show me the world as i'd love to see it i'd tell all my friends but they'd never believe me they'd think that i'd finally lost it completely i'd show them the stars and the meaning of life they'd shut me away  but i'd be alright alright mom i'm alright alright  i'm just uptight uptight uptight uptight uptight uptight uptight uptight uptight,865,173
Subterranean Homesick Blues by Bob Dylan,Bringing It All Back Home by Bob Dylan,"johnny's in the basement, mixin' up the medicine i'm on the pavement, thinkin' about the government the man in a trench coat, badge out, laid off says he's got a bad cough, wants to get it paid off look out kid, it's somethin' you did god knows when, but you're doin' it again you better duck down the alleyway, looking for a new friend the man in the coonskin cap in a pig pen wants  dollar bills – you only got   maggie comes fleet foot, face full of black soot talkin' that the heat put plants in the bed, but phone's tapped anyway maggie says the many say they must bust in early may orders from the da look out kid, don't matter what you did walk on your tip toes, don’t tie no bows better stay away from those that carry around a fire hose keep a clean nose, watch the plainclothes you don't need a weather man to know which way the wind blows  oh, get sick, get well, hang around a ink well hang bail, hard to tell if anything is gonna sell try hard, get barred, get back, ride rail get jailed, jump bail, join the army if you fail look out kid, you're gonna get hit by losers, cheaters, sixtime users hanging 'round the theaters girl by the whirlpool's looking for a new fool don't follow leaders, awatch the parking meters  oh, get born, keep warm short pants, romance learn to dance, get dressed get blessed, try to be a success please her, please him, buy gifts don't steal, don't lift  years of schoolin' and they put you on the day shift look out kid, they keep it all hid better jump down a manhole, light yourself a candle don't wear sandals, try to avoid the scandals don't want to be a bum, you better chew gum the pump don't work 'cause the vandals took the handles",1728,395
Subterraneans by David Bowie,Low  by David Bowie,"share bride failing star careline, careline careline, careline riding me shirley, shirley, shirley, own share bride failing star",132,23
Suffragette City by David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars by David Bowie,"hey man oh, leave me alone, you know hey man oh, henry, get off the phone, i gotta hey man i gotta straighten my face this mellow thighed chick just put my spine out of place hey man my school day's insane hey man my work's down the drain hey man well, she's a total blamblam she said she had to squeeze it but she, and then she  oh, don't lean on me, man, 'cause you can't afford the ticket back from suffragette city oh, don't lean on me, man, 'cause you ain't got time to check it you know my suffragette city is outta sight she's all right  hey, man oh, henry, don't be unkind, go away hey, man i can't take you this time, no way hey, man dear droogie, don't crash here there's only room for one and here she comes, here she comes  oh, don't lean on me, man, 'cause you can't afford the ticket back from suffragette city oh, don't lean on me, man, 'cause you ain't got time to check it you know my suffragette city is outta sight she's all right oh, hit me  oh, don't lean on me, man, 'cause you can't afford the ticket back from suffragette city oh, don't lean on me, man, 'cause you ain't got time to check it you know my suffragette city don't lean on me, man, 'cause you can't afford the ticket back from suffragette city and don't lean on me, man, 'cause you ain't got time to check it you know my suffragette city is outta sight whoa, she's all right  a suffragette city a suffragette city i'm back on suffragette city i'm back on suffragette city whoa, suffragette city ooh, suffragette city oohhow, suffragette city oohhow, suffragette city oohhow, suffragette oh, wham, bam, thank you, ma'am a suffragette city a suffragette city quite all right a suffragette city too fine a suffragette city ooh, a suffragette city oh, my suffragette city oh, my suffragette city oh, suffragette suffragette",1827,436
Sulk by Radiohead,The Bends by Radiohead,you bite through the big wall the big wall bites back you sit there and sulk you sit there and bawl you look so pretty when you're on your knees disinfected and eager to please  sometimes you sulk sometimes you burn god rest your soul when the loving comes but we're already gone just like your dad you'll never change  each time it comes it eats me alive i try to behave but it eats me alive so i declare a holiday fall asleep drift away  sometimes you sulk sometimes you burn god rest your soul when the loving comes but we're already gone just like your dad you'll never change   sometimes you sulk sometimes you burn god rest your soul when the loving comes but we're already gone just like your dad you'll never change,723,143
Summer Bummer by Lana Del Rey Ft AAP Rocky & Playboi Carti,Lust for Life by Lana Del Rey,"it's never too late to be who you wanna be swimmin' in my safe to say what you wanna say tattoo on my face, swimmin' in my safe tattoo on my face, swimmin' in my safe and it's never too late to leave if you wanna leave better not or to stay if you wanna stay but, baby yeah i got a feelin' in my bones tattoo on my face, swimmin' in my safe can't get you out of my veins yeah, yeah you can't escape my affection yeah, yeah wrap you up in my daisy chains what what what what  hiphop in the summer what what what don't be a bummer, babe what what yeah be my undercover lover, babe, hmm what what what what what what yeah what what what high tops in the summer summer, what what what don't be a bummer, babe summer, what what what be my undercover lover, babe, hmm what what what what what  uh, her sophistication make you wanna quit the bitch you datin' let's skip the games, let's quit the playin' boo, let's get acquainted what notifications sync in place even when we're on vacation yeah i knew she'd notice like i missed the payment, dang it what ooh but bang it like my fingers ooh, what she pray to god i made it what but bankin' like my franklins yeah my neighbors stopped the hatin' yeah what what they been at it, check it out, huh we been out here yeah, slide inside it what diddy boppin' what, milly rockin' what what she just might become my lover for real yeah that's good; for real, for real i might fuck with her all summer for real for real, for real they better not holla if i cuff her for real for real, for real niggas better run for cover for real goin' bell how i feel, close the deal, pop a seal take the whip, two pills on the lips on the wheel for real, for real truthfully, between you and me, i'm usually single when it's hot outside this, i ride through any hood with the top out hop out  hiphop in the summer what what what don't be a bummer, babe what what yeah be my undercover lover, babe, hmm what what what what what what yeah what what what high tops in the summer summer, what what what don't be a bummer, babe summer, what what what be my undercover lover, babe, hmm what what what what what white lies and black beaches miles in between us is this love or lust or some game on repeat it's like makin' me crazy tell me have patience baby, i need this white lines and black beaches white lies and black beaches and blood red sangrias we traveled for weeks just to escape your demons but you've got your reasons in makin' me crazy but you've got your reasons white lights and black beaches  high tops in the summer top out, hop out, hop out don't be a bummer, babe top out, hop out, hop out don't be a bummer top out, hop out, hop out don't be a bummer babe  hiphop in the summer what what what don't be a bummer, babe what what yeah be my undercover lover, babe, hmm what what what what what what yeah what what what high tops in the summer summer, what what what don't be a bummer, babe summer, what what what be my undercover lover, babe what what what what what don't be a bummer, babe ooh ohh, ooh ohh ooh ohh, ooh ohh",3158,808
Summer Love by One Direction,Take Me Home by One Direction,"yeah ooh, ooh  can't believe you're packing your bags trying so hard not to cry had the best time, and now it's the worst time but we have to say goodbye  don't promise that you're gonna write don't promise that you'll call just promise that you won't forget we had it all  'cause you were mine for the summer now we know it's nearly over feels like snow in september but i always will remember  you were my summer love you always will be my summer love  wish that we could be alone now if we could find some place to hide make the last time just like the first time push a button and rewind  don't say the word that's on your lips don't look at me that way just promise you'll remember when the sky is grey  'cause you were mine for the summer now we know it's nearly over feels like snow in september but i always will remember  you were my summer love you always will be my summer love  so, please, don't make this any harder we can't take this any further and i know there's nothing that i wanna change, change  'cause you were mine for the summer now we know it's nearly over feels like snow in september but i always will remember will remember you were my summer love summer love you always will be my summer love summer love you always will be my summer love *yeah* you always will be my summer love19",1322,288
Summertime Sadness by Lana Del Rey,Born to Die by Lana Del Rey,"kiss me hard before you go summertime sadness i just wanted you to know that, baby, you the best  i got my red dress on tonight dancin' in the dark, in the pale moonlight done my hair up real big, beauty queen style high heels off, i'm feelin' alive  oh my god, i feel it in the air telephone wires above are sizzlin' like a snare honey, i'm on fire, i feel it everywhere nothin' scares me anymore one, two, three, four  kiss me hard before you go summertime sadness i just wanted you to know that, baby, you the best  i got that summertime, summertime sadness sususummertime, summertime sadness got that summertime, summertime sadness oh, oh, oh  i'm feelin' electric tonight cruisin' down the coast, goin' 'bout  got my bad baby by my heavenly side i know, if i go, i'll die happy tonight  oh my god, i feel it in the air telephone wires above are sizzlin' like a snare honey, i'm on fire, i feel it everywhere nothin' scares me anymore one, two, three, four  kiss me hard before you go summertime sadness i just wanted you to know that, baby, you the best  i got that summertime, summertime sadness sususummertime, summertime sadness got that summertime, summertime sadness oh, oh, oh  think i'll miss you forever like the stars miss the sun in the morning sky later's better than never even if you're gone, i'm gonna drive drive drive i got that summertime, summertime sadness sususummertime, summertime sadness got that summertime, summertime sadness oh, oh, oh  kiss me hard before you go summertime sadness i just wanted you to know that, baby, you the best  i got that summertime, summertime sadness sususummertime, summertime sadness got that summertime, summertime sadness oh, oh, oh",1707,367
SuperStar by Taylor Swift,Fearless Platinum Edition by Taylor Swift,"this is wrong but i can't help but feel like there ain’t nothing more right babe misty morning comes again and i can't help but wish i could see your face and i knew from the first note played i'd be breaking all my rules to see you you smile that beautiful smile and all the girls in the front row scream your name  so dim that spotlight, tell me things like i can't take my eyes off of you i'm no one special, just another wideeyed girl who's desperately in love with you give me a photograph to hang on my wall, superstar  morning loneliness comes around when i'm not dreaming about you when my world wakes up today you'll be in another town and i knew when i saw your face i'd be counting down the ways to see you you smile that beautiful smile and all the girls in the front row scream your name  so dim that spotlight, tell me things like i can't take my eyes off of you i'm no one special, just another wideeyed girl who's desperately in love with you give me a photograph to hang on my wall, superstar  you played in bars, you play guitar and i'm invisible and everyone knows who you are and you'll never see, you sing me to sleep every night from the radio  so dim that spotlight, tell me things like i can't take my eyes off of you i'm no one special, just another wideeyed girl who's desperately in love with you give me a photograph to hang on my wall, superstar  sweet, sweet superstar superstar",1411,303
